product_slug,product_name,product_id,sku,reference_sku_private,mpn,mpn_status,brand,category,gtin,gtin_status,gtin_checksum_status,reference_price_private,currency,reference_availability_private,selling_price,availability,product_url,image_url,description,seller_brand,seller_legal_name,merchant_approved
sql-server-2022-enterprise,SQL SERVER 2022 ENTERPRISE,LP-7072BB37E6,LP-7072BB37E6,SSE220,SSE220,assignment_unverified,Microsoft,Microsoft SQL Server,8720254950525,assignment_unverified,valid,129.9,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/sql-server-2022-enterprise/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
visual-studio-2022-enterprise,VISUAL STUDIO 2022 ENTERPRISE,LP-6CD3412168,LP-6CD3412168,VS20E2,VS20E2,assignment_unverified,Microsoft,Microsoft Visual Studio,8720938267048,assignment_unverified,valid,14.3,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/visual-studio-2022-enterprise/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
microsoft-onenote-2021-windows,MICROSOFT ONENOTE 2021 (WINDOWS),LP-AE3095BB4A,LP-AE3095BB4A,ONT210,ONT210,assignment_unverified,Microsoft,Microsoft OneNote,9781867470915,duplicate_conflict,valid,14.5,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/microsoft-onenote-2021-windows/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
microsoft-onenote-2021-mac,MICROSOFT ONENOTE 2021 (MAC),LP-600DC3DD85,LP-600DC3DD85,TN88P0,TN88P0,assignment_unverified,Microsoft,Microsoft OneNote,9785511610658,assignment_unverified,valid,14.5,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/microsoft-onenote-2021-mac/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
microsoft-outlook-2021-windows,MICROSOFT OUTLOOK 2021 (WINDOWS),LP-8F4168532B,LP-8F4168532B,MO21K0,MO21K0,assignment_unverified,Microsoft,Microsoft Office Outlook,8720254950051,assignment_unverified,valid,22.9,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/microsoft-outlook-2021-windows/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
microsoft-outlook-2021-mac,MICROSOFT OUTLOOK 2021 (MAC),LP-7BE4FB5BD6,LP-7BE4FB5BD6,021MOT,021MOT,assignment_unverified,Microsoft,Microsoft Office Outlook,8720938276163,assignment_unverified,valid,14.5,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/microsoft-outlook-2021-mac/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
microsoft-publisher-2021,MICROSOFT PUBLISHER 2021,LP-3C5F10F55C,LP-3C5F10F55C,PB89M6,PB89M6,assignment_unverified,Microsoft,Microsoft Publisher,8720254950099,assignment_unverified,valid,22.7,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/microsoft-publisher-2021/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
microsoft-access-2021,MICROSOFT ACCESS 2021,LP-08266E0F4F,LP-08266E0F4F,LQ101W,LQ101W,assignment_unverified,Microsoft,Microsoft Access,8720254950082,duplicate_conflict,valid,22.9,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/microsoft-access-2021/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
autocad-2024-524,AUTOCAD 2024,LP-6C15C2CA48,LP-6C15C2CA48,85GF6T,85GF6T,assignment_unverified,Autodesk,AUTODESK,0468800857185,assignment_unverified,valid,79,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/autocad-2024-524/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
autocad-lt-2024-mac,AUTOCAD LT 2024 (MAC),LP-B82F4DA779,LP-B82F4DA779,IRY783,IRY783,assignment_unverified,Autodesk,AUTODESK,0606126007826,assignment_unverified,valid,45,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/autocad-lt-2024-mac/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
bitdefender-password-manager-2025,BITDEFENDER PASSWORD MANAGER 2026,LP-D773EB9891,LP-D773EB9891,B2PM24,B2PM24,assignment_unverified,Bitdender,Bitdefender,4260518148052,assignment_unverified,valid,64.99,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/bitdefender-password-manager-2025/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
coreldraw-suite-2024-windows,CORELDRAW GRAPHICS SUITE 2024 (WINDOWS),LP-C925DE6C1B,LP-C925DE6C1B,E0G1T2,E0G1T2,assignment_unverified,Corel Draw,COREL,0735163166651,duplicate_conflict,valid,89,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/coreldraw-suite-2024-windows/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
coreldraw-graphics-suite-2024-mac,CORELDRAW GRAPHICS SUITE 2024 (MAC),LP-7F321B4DED,LP-7F321B4DED,R3Y5K8,R3Y5K8,assignment_unverified,Corel Draw,COREL,0735163166651,duplicate_conflict,valid,89,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/coreldraw-graphics-suite-2024-mac/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
microsoft-office-2024-professional-plus-windows,MICROSOFT OFFICE 2024 PROFESSIONAL PLUS (WINDOWS),LP-B50AE6E6D1,LP-B50AE6E6D1,OFF024,OFF024,assignment_unverified,Microsoft,Home,0889847772222,assignment_unverified,valid,24.9,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/microsoft-office-2024-professional-plus-windows/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
adobe-illustrator-2024,ADOBE ILLUSTRATOR 2024,LP-25753FF1EA,LP-25753FF1EA,24ILL8,24ILL8,assignment_unverified,Adobe,Home,9780138263744,assignment_unverified,valid,39.99,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/adobe-illustrator-2024/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
autodesk-autocad-mechanical-2024,AUTODESK AUTOCAD MECHANICAL 2024,LP-DA6B84EBF0,LP-DA6B84EBF0,M24AM0,M24AM0,assignment_unverified,Autodesk,AUTODESK,9788320429862,assignment_unverified,valid,39.9,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/autodesk-autocad-mechanical-2024/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
autocad-civil-3d-2024,AUTOCAD CIVIL 3D 2024,LP-779635AC1B,LP-779635AC1B,AU324D,AU324D,assignment_unverified,Autodesk,Home,9781959504726,assignment_unverified,valid,49,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/autocad-civil-3d-2024/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
adobe-photoshop-2024,ADOBE PHOTOSHOP 2024,LP-B7F2AF7A6D,LP-B7F2AF7A6D,PS24A0,PS24A0,assignment_unverified,Adobe,Home,0883919288390,assignment_unverified,valid,32.9,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/adobe-photoshop-2024/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
autodesk-inventor-2024,AUTODESK INVENTOR 2024,LP-5B500BC422,LP-5B500BC422,IT24A0,IT24A0,assignment_unverified,Autodesk,Home,9781630568337,assignment_unverified,valid,64.5,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/autodesk-inventor-2024/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
autocad-lt-2025,AUTOCAD LT 2025,LP-E562C8E77A,LP-E562C8E77A,CA25D0,CA25D0,assignment_unverified,Autodesk,Home,9781630568955,assignment_unverified,valid,65,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/autocad-lt-2025/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
autodesk-autocad-electrical-2024,AUTODESK AUTOCAD ELECTRICAL 2024,LP-1124F24F98,LP-1124F24F98,CAD024,CAD024,assignment_unverified,Autodesk,Home,9781952866395,assignment_unverified,valid,89,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/autodesk-autocad-electrical-2024/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
autocad-2025,AUTOCAD 2025,LP-A4B3BD0F5E,LP-A4B3BD0F5E,CAD025,CAD025,assignment_unverified,Autodesk,Home,9782409046346,assignment_unverified,valid,105,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/autocad-2025/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
project-pro-2024-windows,MICROSOFT PROJECT PROFESSIONAL 2024 (WINDOWS),LP-BBED1F435A,LP-BBED1F435A,20PR4S,20PR4S,assignment_unverified,Microsoft,Home,0710638496655,assignment_unverified,valid,34.9,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/project-pro-2024-windows/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
